topology,seed,dimensions,peaks,hv,gap,set_resolution,n_relevant_sets,n_points_nondominated,xmax,xmin
funnel,1,2,1,0.0820987425274873,4.333089598754225e-6,131072,1,65536,0.7203244934421581,0.2650635656075058
funnel,1,2,2,0.4207998426299476,2.599284769710941e-5,32768,2,20543,0.7203244934421581,0.2650635656075058
funnel,1,2,4,0.5674281934107572,3.675790504986676e-5,32768,2,17409,0.7203244934421581,0.2650635656075058
funnel,1,2,8,0.70166014386037,6.415460704911613e-5,4096,3,3461,0.7203244934421581,0.2650635656075058
funnel,1,2,16,0.602844329627228,4.519237443034729e-5,8192,5,9358,0.7203244934421581,0.2650635656075058
funnel,1,2,32,0.7520575300346672,4.9088216944492835e-5,4096,9,8037,0.7203244934421581,0.21357189419485323
funnel,1,2,64,0.8331689806080074,5.1104887862418735e-5,1024,11,2954,0.7203244934421581,0.20562664349042123
funnel,1,2,128,0.878812215725554,4.510622894660088e-5,2048,21,7322,0.7203244934421581,0.2650635656075058
funnel,1,3,1,0.09033995125160486,8.584245649784217e-6,32768,1,16384,0.7203244934421581,1.1437481734489298e-4
funnel,1,3,2,0.5508382055718791,5.271506331006037e-5,16384,2,8618,0.7203244934421581,1.1437481734489298e-4
funnel,1,3,4,0.7345315784952815,6.8965258198328e-5,16384,2,8380,0.7203244934421581,1.1437481734489298e-4
funnel,1,3,8,0.7578685842920447,4.4590187463944275e-5,16384,4,10750,0.7203244934421581,1.1437481734489298e-4
funnel,1,3,16,0.6539770425620146,5.50104165326637e-5,16384,6,11856,0.7203244934421581,1.1437481734489298e-4
funnel,1,3,32,0.8040500691474718,7.718477351470465e-5,4096,6,4438,0.7376732160186488,1.1437481734489298e-4
funnel,1,3,64,0.8721384745596485,7.415023427359557e-5,2048,10,3080,0.7376732160186488,1.1437481734489298e-4
funnel,1,3,128,0.9274085946144721,5.2340244679704995e-5,2048,7,3207,0.7203244934421581,1.1437481734489298e-4
funnel,1,5,1,0.20687908944944602,1.046809594715259e-5,65536,1,32768,0.7203244934421583,1.143748173448721e-4
funnel,1,5,2,0.27608117039152,2.660194485326617e-5,32768,3,17763,0.933844883668196,1.143748173448721e-4
funnel,1,5,4,0.3659404339733715,2.6496080777482778e-5,32768,3,18470,0.752751194784295,1.143748173448721e-4
funnel,1,5,8,0.37978535972992,2.3950371029479722e-5,32768,5,19163,0.752751194784295,1.143748173448721e-4
funnel,1,5,16,0.5189067957441129,3.129516783806352e-5,32768,5,22981,0.7323674593501373,1.143748173448721e-4
funnel,1,5,32,0.701283848977664,6.0159318179708876e-5,8192,5,7084,0.7699159924171087,1.143748173448721e-4
funnel,1,5,64,0.7819055041118947,6.288379608676564e-5,8192,6,7935,0.7203244934421583,1.143748173448721e-4
funnel,1,5,128,0.8148796108861672,5.395725158718889e-5,8192,12,8781,0.7246899807549244,1.143748173448721e-4
funnel,1,10,1,0.21299790815680344,1.4824315300421276e-5,65536,1,32768,0.7203244934421581,1.143748173448849e-4
funnel,1,10,2,0.21299790815680344,1.4824315300421276e-5,65536,1,32768,0.7203244934421581,1.143748173448849e-4
funnel,1,10,4,0.21371024764415172,1.4350519116884675e-5,65536,2,34107,0.7252259961627523,1.143748173448849e-4
funnel,1,10,8,0.22996963728590517,1.4473582766794113e-5,65536,3,29676,0.929908345978708,1.143748173448849e-4
funnel,1,10,16,0.3763880593571755,2.4968398753655308e-5,32768,3,17498,0.7203244934421581,1.143748173448849e-4
funnel,1,10,32,0.44379770647027966,2.523710290602832e-5,32768,4,18453,0.8462369087730053,1.143748173448849e-4
funnel,1,10,64,0.4509972714648933,2.5043680788539024e-5,32768,4,19164,0.8462369087730053,-0.0012625873407445907
funnel,1,10,128,0.4570621992372121,2.622264214408032e-5,32768,6,18934,0.8707216965567006,-6.307720624373961e-4
funnel,2,2,1,0.15588811935347152,1.105466364431651e-5,65536,1,32768,0.4611561827923094,0.025926231827891336
funnel,2,2,2,0.370678175084611,2.5979947308463203e-5,16384,3,12273,0.4611561827923094,0.013278080837819771
funnel,2,2,4,0.5101866236343846,3.670940950184498e-5,8192,5,6380,0.4611561827923094,0.013278080837819771
funnel,2,2,8,0.5666780828234221,3.2844596615677624e-5,32768,7,35310,0.4611561827923094,0.012898987004011687
funnel,2,2,16,0.6905572947699476,5.238872515911375e-5,8192,10,12265,0.5584236079639421,0.008111015544547519
funnel,2,2,32,0.8429351430558443,6.422732509370199e-5,2048,10,5293,0.4611561827923094,0.007725617859474425
funnel,2,2,64,0.8559607117077415,6.97872861399329e-5,1024,16,4023,0.4611561827923094,0.007725617859474425
funnel,2,2,128,0.867112487050075,6.261750400360366e-5,1024,19,5061,0.4611561827923094,0.007725617859474425
funnel,2,3,1,0.128661869554691,9.58602969650113e-6,65536,1,32768,0.5496624778787091,0.025926231827891343
funnel,2,3,2,0.33499066087166507,1.8574952235006492e-5,65536,2,35716,0.5496624778787091,0.025926231827891343
funnel,2,3,4,0.6510231858294422,4.050807432676162e-5,16384,4,14778,0.5496624778787091,0.025926231827891343
funnel,2,3,8,0.6077594112571572,3.791399532704354e-5,16384,5,16667,0.5496624778787091,0.025926231827891343
funnel,2,3,16,0.7426213543662641,5.823213502531566e-5,8192,5,9959,0.6351547079282382,0.025926231827891343
funnel,2,3,32,0.81913259959333,4.8956315324200084e-5,4096,9,7258,0.653580550671968,0.025926231827891343
funnel,2,3,64,0.8819347342765284,7.047649616853668e-5,1024,15,3269,0.6753105732707692,0.025926231827891343
funnel,2,3,128,0.8989905608011911,5.5530398706094e-5,1024,14,3387,0.6753105732707692,0.01839207317778555
funnel,2,5,1,0.10321141868451437,7.838678852734038e-6,65536,1,32768,0.6027242315765674,0.025926231827891354
funnel,2,5,2,0.1356474208294814,1.0080665673789513e-5,65536,2,36812,0.8928903522457455,0.025483647127508578
funnel,2,5,4,0.17673723412790387,9.950205328429496e-6,65536,3,42365,0.6032019722340265,0.01623173018444095
funnel,2,5,8,0.5525626282418694,3.8781285348288286e-5,32768,2,19911,0.6027242315765674,0.025926231827891354
funnel,2,5,16,0.6646004057822477,4.7635168401782835e-5,16384,5,13437,0.6027242315765674,0.00871941699462746
funnel,2,5,32,0.6527061324939207,4.6916220913351125e-5,16384,6,13286,0.6027242315765674,0.010891972919202275
funnel,2,5,64,0.8522305496054539,4.806313534200246e-5,8192,7,6676,0.7514839820074785,0.025926231827891354
funnel,2,5,128,0.8375957325752439,4.8802635654432436e-5,8192,4,7468,0.7514839820074785,0.025926231827891354
funnel,2,10,1,0.08492806674981368,7.440385403525984e-6,65536,1,32768,0.806732318597649,0.025926231827891326
funnel,2,10,2,0.08492806674981368,7.440385403525984e-6,65536,1,32768,0.806732318597649,0.025926231827891326
funnel,2,10,4,0.12079960196362981,8.413821473013394e-6,65536,3,41430,0.9809670782486911,0.025908192517240143
funnel,2,10,8,0.12297506428286768,9.919453561671454e-6,65536,5,38418,0.9809670782486911,0.009012508596902776
funnel,2,10,16,0.18639334978440797,1.8448550034494415e-5,32768,7,24213,0.9930661399765881,0.016679382588802236
funnel,2,10,32,0.44817750893198616,3.683002337767638e-5,32768,5,19024,0.9319739152802428,0.004397127732273384
